file_name,contract_type,source_url,jurisdiction_note
AGREEMENT FOR BUILDING WHERE OWNER SUPPLIES PLOT AND ALL MATERIALS,labour contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-building-where-owner-supplies-plot-and-all-materials.docx,
AGREEMENT FOR BUILDING LEASE,Agreement to Lease,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-building-lease.rtf,
AGREEMENT FOR APPOINTMENT OF SOLE SELLING AGENT BY MANUFACTURING COMPANY,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointment-of-sole-selling-agent-by-manufacturing-company.rtf,
Agreement for Appointment of a Broker for Selling a House,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointment-of-a-broker-for-selling-a-house.docx,
AGREEMENT FOR APPOINTING OF SALES AGENT,Agent Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointing-of-sales-agent.docx,
AGREEMENT BETWEEN THE COMPUTER CONSULTANT AND PROGRAMMER FOR GRANT OF COPYRIGHT IN COMPUTER SOFTWARE,Intellectual Property Assignment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-the-computer-consultant-and-programmer-for-grant-of-copyright-in-computer-software.rtf,
AGREEMENT BETWEEN PUBLISHER AND AUTHOR,Publishing Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-publisher-and-author.docx,
AGREEMENT BETWEEN PRINCIPAL AND MONOPOLY AGENT,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-principal-and-monopoly-agent.docx,
AGREEMENT BETWEEN OWNERS AND LABOUR CONTRACTOR FOR SUPPLY OF LABOUR,Labour Contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-owners-and-labour-contractor-for-supply-of-labour.rtf,
AGREEMENT BETWEEN MANUFACTURER AND SOLE SELLING AGENTS WITH CANVASSING RIGHTS,Sole Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-sole-selling-agents-with-canvassing-rights.rtf,
AGREEMENT BETWEEN MANUFACTURER AND DEALER,Distribution Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-dealer.docx,
AGREEMENT BETWEEN MANUFACTURER AND COMMISSION AGENT,Commission Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-commission-agent.rtf,
AGREEMENT BETWEEN FIRM AND TRAVELING SALES AGENT,Traveling Sales Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-firm-and-traveling-sales-agent.docx,
AGREEMENT BETWEEN FILM PRODUCERS AND DISTRIBUTORS,Film Production and Distribution Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-film-producers-and-distributors.docx,
AGREEMENT BETWEEN A BUILDING OWNER AND AN ARTIST,Artistic Services Agreement,Templates/agreement-between-building-owner-and-an-artist.rtf,,
AGREEMENT 0F REFERENCE TO TWO ARBITRATORS,Arbitration Reference Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-0f-reference-to-two-arbitrators.rtf,,
AGREEMENT ADMITTING MINOR TO THE BENEFITS OF PARTNERSHIP,Partnership Admission Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-admiting-the-minor-to-the-benefit-of-partnership.rtf,,
AGREEMENT APPOINTING BROKER FOR SALE OF A SHOP ALONG WITH STOCK IN TRADE REMAINING UNSOLD,Brokerage Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-appointing-broker-for-sale-of-a-shop-along-with-stock-in-trade-remaining-unsold.rtf,,
AGREEMENT BETWEEN A COMPANY AND A CONTRACTOR FOR CONSTRUCTION OF BODY OF THE COMPAINTS STAFF BUSES,Construction Contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-comapny-and-a-contractor-for-construction-of-body-of-the-compaints-staff-buses.rtf,,
AGREEMENT BETWEEN A COMPANY AND A CATERER FOR RUNNING A CANTEEN IN THE FACTORY FOR ITS STAFF,Canteen Management Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-a-caterer-for-running-a-canteen.rtf,,
AGREEMENT BETWEEN A COMPANY AND AN ADVERTISING AGENCY,Advertising Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-an-advertising-agency.rtf,,
AGREEMENT BETWEEN A COMPANY AND ITS BRANCH MANAGER,Employment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-its-branch-manager.rtf,,
AGREEMENT BETWEEN A COMPANY AND MANAGER,Employment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-manager.rtf,,
AGREEMENT BETWEEN A COMPANY AND SECURITY SERVICE COMPANY FOR PROVIDING SECURITY SERVICES TO THE COMPANY'S PROPERTY,Security Services Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-security-service-company.rtf,,
AGREEMENT BETWEEN A COMPANY AND SOLE SELLING AGENTS,Sole Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-sole-selling-agents.rtf,,
AGREEMENT BETWEEN AN INDIAN PUBLISHER AND FOREIGN PUBLISHER FOR GRANT OF LICENCE FOR PUBLICATION OF THE BOOK IN FOREIGN COUNTRY,International Publishing License Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-indian-publisher-and-a-foreign-publisher.rtf,Governed by laws of India; arbitration in New Delhi per Indian Council of Arbitration rules,
AGREEMENT BETWEEN A MANUFACTURER AND SELLING AGENT,Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-manufacturer-and-selling-agent.rtf,,
AGREEMENT ADMITTING A MINOR TO THE BENEFIT OF PARTNERSHIP,Partnership Admission Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-minor-for-the-partnership.rtf,,
AGREEMENT BETWEEN A NEWSPAPER PUBLISHER AND AN ADVERTISING AGENCY FOR SECURING ADVERTISEMENT,Advertising Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-newspaper-publisher-and-an-advertising-agency.rtf,,
AGREEMENT BETWEEN AN OWNER AND ADVERTISERS FOR USING THE WALL FOR ADVERTISEMENTS,Wall Advertising License Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-an-owner-and-advertisers.rtf,,
Agreement between an Owner and an Architect for Construction of a Building,Architectural Services Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-an-owner-and-an-architect-for-construction-of-a-building.docx,,
AGREEMENT BETWEEN AN OWNER AND AN ARCHITECT FOR CONSTRUCTION OF A BUILDING,Architectural Services Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-an-owner-and-an-architect-for-construction-of-a-building.rtf,,
AGREEMENT BETWEEN AUTHOR AND PUBLISHER,Author-Publisher Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-author-and-publisher.docx,,
AGREEMENT BETWEEN BUILDER AND A BROKER FOR SELLING THE FLATS TO BE CONSTRUCTED,Brokerage Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-builder-and-a-broker-for-selling-the-flats-to-be-constructed.docx,,
AGREEMENT TO SUPPLY GOODS AS PER SAMPLE,Goods Supply Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-to-supply-goods-as-per-sample.docx,,
AGREEMENT WITH AN AUCTIONEER,Auctioneer Authority Letter,D:\ProjectAarya\Contract Analyzer\Templates\agreement-with-an-auctioneer.docx,,
APPLICATION FOR RECOVERY OF MONEY IN TERMS OF AN AWARD OR A SETTLEMENT,Labour Claim Application,D:\ProjectAarya\Contract Analyzer\Templates\application-for-recovery-of-money-in-terms-of-an-award-or-a-settlement.rtf,: Central Government (Ministry of Labour and Employment) / Regional Labour Commissioner (Central) jurisdiction,
CANCELLATION OF AN AGREEMENT,Mutual Agreement Cancellation,D:\ProjectAarya\Contract Analyzer\Templates\cancellation-of-an-agreement.docx,,
Deed of Hypothecation - Machinery,Deed of Hypothecation,D:\ProjectAarya\Contract Analyzer\Templates\deed-of-hypothecation.docx,Arbitration venue at Chennai per Arbitration and Conciliation Act 1996,
Franchise Agreement,Franchise Agreement,D:\ProjectAarya\Contract Analyzer\Templates\franchise-agreement.rtf,,
GUARANTEE OF PERFORMANCE OF HIRE PURCHASE AGREEMENT,Personal Guarantee,D:\ProjectAarya\Contract Analyzer\Templates\guarantee-of-performance-of-hire-purchase-agreement-1.rtf,,
LEAVE AND LICENSE AGREEMENT,Leave and License Agreement,D:\ProjectAarya\Contract Analyzer\Templates\leave-and-license-agreement-1.rtf,,
Loan Agreement,Personal Loan Agreement,D:\ProjectAarya\Contract Analyzer\Templates\loan-agreement.docx,,
LOAN AGREEMENT WITH BANK,Bank Cash Credit Overdraft Agreement,D:\ProjectAarya\Contract Analyzer\Templates\loan-agreement-with-bank.docx,,